Row Labels,Average of Compound
2017-10-1,0.431025
2017-10-10,0.018745455
2017-10-11,0.115666667
2017-10-12,0.177133333
2017-10-13,0.017684615
2017-10-14,0.341871429
2017-10-15,0.1987
2017-10-16,0.284188889
2017-10-17,0.269477778
2017-10-18,0.297658824
2017-10-19,-0.099914286
2017-10-2,0.60555
2017-10-20,0.423409091
2017-10-21,-0.232091667
2017-10-22,0.34828
2017-10-23,-0.0396
2017-10-24,0.166625
2017-10-25,0.435592308
2017-10-26,0.204036364
2017-10-27,0.400186667
2017-10-28,0.0543
2017-10-29,-0.319683333
2017-10-3,0.704375
2017-10-30,-0.037175
2017-10-31,-0.1313
2017-10-4,0.1817
2017-10-5,-0.10278
2017-10-6,-0.299966667
2017-10-7,0.342666667
2017-10-8,0.180690909
2017-10-9,0.194466667
2017-11-1,-0.00834
2017-11-10,0.728944444
2017-11-11,0.341
2017-11-12,0.4936625
2017-11-13,0.38505
2017-11-14,0.594525
2017-11-15,0.285113333
2017-11-16,0.216771429
2017-11-17,0.0292
2017-11-18,0.2001
2017-11-19,-0.324175
2017-11-2,0.302685714
2017-11-20,-0.202
2017-11-21,0.6122
2017-11-22,-0.002745455
2017-11-23,0.44765
2017-11-24,0.03086
2017-11-25,0.04266
2017-11-26,-0.1939
2017-11-27,0.371425
2017-11-28,0.362766667
2017-11-29,0.057765
2017-11-3,-0.000665
2017-11-30,0.031166667
2017-11-4,0.4671
2017-11-5,0.6728
2017-11-6,0.299185714
2017-11-7,0.087727273
2017-11-8,0.4111
2017-11-9,0.4089
2017-12-1,-0.038711111
2017-12-10,-0.008
2017-12-11,-0.9272
2017-12-12,-0.14428
2017-12-13,0.52608
2017-12-14,0.367571429
2017-12-15,0.84115
2017-12-16,0.2289875
2017-12-17,0.37265
2017-12-18,0.429369231
2017-12-19,0.81706
2017-12-2,0.242975
2017-12-20,0.541483333
2017-12-21,0.39442
2017-12-22,0.369181818
2017-12-23,0.104416667
2017-12-24,0.26805
2017-12-25,0.75854
2017-12-26,0.483433333
2017-12-27,0.3875
2017-12-28,0.126281818
2017-12-29,0.299425
2017-12-3,-0.221778571
2017-12-30,-0.029533333
2017-12-31,0.399933333
2017-12-4,0.05825
2017-12-5,0.6654
2017-12-6,0.41492
2017-12-7,0.222722222
2017-12-8,0.0889125
2017-12-9,0.36505
2017-9-22,0.15015
2017-9-23,0.470246154
2017-9-24,0.250890909
2017-9-25,0.118477778
2017-9-26,0.119885714
2017-9-27,0.59635
2017-9-28,0.3777625
2017-9-29,0.21295
2017-9-30,0.322140625
2018-1-10,0.45681
2018-1-11,-0.0786625
2018-1-12,0.308214286
2018-1-13,-0.122083333
2018-1-14,-0.0199
2018-1-15,0.498075
2018-1-16,0.125747059
2018-1-17,0.69316
2018-1-18,0.315316667
2018-1-19,0.084283333
2018-1-20,0.3744125
2018-1-21,-0.040633333
2018-1-22,0.234975
2018-1-23,0.843766667
2018-1-24,0.18548
2018-1-25,0.583575
2018-1-26,0.505842857
2018-1-27,0.253266667
2018-1-28,-0.104225
2018-1-29,0.636
2018-1-31,0.296
2018-1-9,0.6253
2018-2-1,0.330333333
2018-2-10,-0.159588889
2018-2-11,0.24085
2018-2-12,0.2938
2018-2-13,0.79035
2018-2-14,0.129725
2018-2-15,-0.292342857
2018-2-16,-0.258366667
2018-2-17,-0.17945
2018-2-18,0.112425
2018-2-19,0.0527
2018-2-2,0.620166667
2018-2-20,0.513338462
2018-2-21,0.2407
2018-2-22,0.3229
2018-2-23,0.34567
2018-2-24,0.11442
2018-2-25,0.064833333
2018-2-27,0.452875
2018-2-28,0.46728
2018-2-3,0.0355
2018-2-4,-0.313
2018-2-5,0.034385714
2018-2-6,-0.1224
2018-2-7,0.7664
2018-2-8,0.58096
2018-2-9,0.073125
2018-3-1,0.411833333
2018-3-10,0.4226
2018-3-11,0.481716667
2018-3-12,0.202816667
2018-3-13,0.0982125
2018-3-14,0.41001
2018-3-15,0.506566667
2018-3-16,0.50885
2018-3-17,0.134
2018-3-18,-0.13055
2018-3-19,0.0994
2018-3-2,0.101030769
2018-3-20,0.60245
2018-3-21,0.223485714
2018-3-22,0.5901
2018-3-3,0.29315
2018-3-4,0.742
2018-3-5,0.380883333
2018-3-6,-0.0506375
2018-3-7,0.233683333
2018-3-8,0.64352
2018-3-9,0.60004
Grand Total,0.230759608
