,Compound,Count,Date
0,0.5818,1,2018-03-22
1,0.5984,1,2018-03-22
2,0.9485,1,2018-03-21
3,0.3699,1,2018-03-21
4,0.2263,1,2018-03-21
5,-0.7177,1,2018-03-21
6,0.6597,1,2018-03-21
7,0.7096,1,2018-03-21
8,-0.6319,1,2018-03-21
9,0.8327,1,2018-03-20
10,0.3722,1,2018-03-20
11,0.09,1,2018-03-19
12,-0.481,1,2018-03-19
13,0.6892,1,2018-03-19
14,0.444,1,2018-03-18
15,-0.7351,1,2018-03-18
16,0.7184,1,2018-03-18
17,-0.9495,1,2018-03-18
18,-0.7982,1,2018-03-17
19,0.2263,1,2018-03-17
20,0.5719,1,2018-03-17
21,0.536,1,2018-03-17
22,0.5106,1,2018-03-16
23,0.9168,1,2018-03-16
24,0.608,1,2018-03-16
25,0.0,1,2018-03-16
26,0.5263,1,2018-03-15
27,0.7574,1,2018-03-15
28,0.0,1,2018-03-15
29,0.3157,1,2018-03-15
30,0.8977,1,2018-03-15
31,0.5423,1,2018-03-15
32,0.3525,1,2018-03-14
33,0.729,1,2018-03-14
34,0.3734,1,2018-03-14
35,0.4199,1,2018-03-14
36,-0.281,1,2018-03-14
37,0.4199,1,2018-03-14
38,0.2481,1,2018-03-14
39,-0.1043,1,2018-03-14
40,0.9684,1,2018-03-14
41,0.9742,1,2018-03-14
42,0.9742,1,2018-03-13
43,0.5562,1,2018-03-13
44,-0.8564,1,2018-03-13
45,-0.8176,1,2018-03-13
46,0.0,1,2018-03-13
47,0.9033,1,2018-03-13
48,-0.2003,1,2018-03-13
49,0.2263,1,2018-03-13
50,0.9381,1,2018-03-12
51,0.2716,1,2018-03-12
52,-0.8016,1,2018-03-12
53,-0.438,1,2018-03-12
54,0.9286,1,2018-03-12
55,0.3182,1,2018-03-12
56,0.536,1,2018-03-11
57,0.7574,1,2018-03-11
58,0.7506,1,2018-03-11
59,-0.743,1,2018-03-11
60,0.7526,1,2018-03-11
61,0.8367,1,2018-03-11
62,0.7644,1,2018-03-10
63,-0.747,1,2018-03-10
64,0.4321,1,2018-03-10
65,0.8221,1,2018-03-10
66,0.9259,1,2018-03-10
67,0.7419,1,2018-03-10
68,0.4753,1,2018-03-10
69,0.9184,1,2018-03-10
70,0.4753,1,2018-03-10
71,-0.8399,1,2018-03-10
72,0.6801,1,2018-03-10
73,0.9144,1,2018-03-09
74,0.7896,1,2018-03-09
75,0.4574,1,2018-03-09
76,0.0,1,2018-03-09
77,0.8388,1,2018-03-09
78,0.4215,1,2018-03-08
79,0.4215,1,2018-03-08
80,0.6588,1,2018-03-08
81,0.7845,1,2018-03-08
82,0.9313,1,2018-03-08
83,0.6281,1,2018-03-07
84,0.5551,1,2018-03-07
85,-0.5038,1,2018-03-07
86,-0.6114,1,2018-03-07
87,0.8588,1,2018-03-07
88,0.4753,1,2018-03-07
89,0.7772,1,2018-03-06
90,-0.5294,1,2018-03-06
91,-0.636,1,2018-03-06
92,0.6908,1,2018-03-06
93,0.0,1,2018-03-06
94,0.4003,1,2018-03-06
95,-0.3164,1,2018-03-06
96,-0.7916,1,2018-03-06
97,0.7177,1,2018-03-05
98,0.6548,1,2018-03-05
99,0.6696,1,2018-03-05
100,0.2551,1,2018-03-05
101,0.25,1,2018-03-05
102,-0.2619,1,2018-03-05
103,0.742,1,2018-03-04
104,0.6696,1,2018-03-03
105,0.5848,1,2018-03-03
106,-0.6932,1,2018-03-03
107,0.6114,1,2018-03-03
108,0.126,1,2018-03-02
109,0.6731,1,2018-03-02
110,-0.6919,1,2018-03-02
111,-0.2942,1,2018-03-02
112,0.0,1,2018-03-02
113,-0.1007,1,2018-03-02
114,0.9381,1,2018-03-02
115,-0.1007,1,2018-03-02
116,0.4926,1,2018-03-02
117,0.3612,1,2018-03-02
118,0.0,1,2018-03-02
119,0.2481,1,2018-03-02
120,-0.3382,1,2018-03-02
121,0.596,1,2018-03-01
122,0.5106,1,2018-03-01
123,0.1027,1,2018-03-01
124,-0.1759,1,2018-03-01
125,0.6155,1,2018-03-01
126,0.8221,1,2018-03-01
127,0.9108,1,2018-02-28
128,0.9698,1,2018-02-28
129,0.0,1,2018-02-28
130,0.8305,1,2018-02-28
131,-0.8698,1,2018-02-28
132,-0.25,1,2018-02-28
133,0.7371,1,2018-02-28
134,0.8387,1,2018-02-28
135,0.7345,1,2018-02-28
136,0.7712,1,2018-02-28
137,0.902,1,2018-02-27
138,0.4215,1,2018-02-27
139,0.8622,1,2018-02-27
140,0.923,1,2018-02-27
141,-0.4199,1,2018-02-27
142,0.3618,1,2018-02-27
143,-0.3182,1,2018-02-27
144,0.8906,1,2018-02-27
145,0.6124,1,2018-02-25
146,0.0,1,2018-02-25
147,-0.3071,1,2018-02-25
148,0.0,1,2018-02-25
149,0.5411,1,2018-02-25
150,-0.4574,1,2018-02-25
151,-0.8221,1,2018-02-24
