text,created_at,Unique Identifier
It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,1/20/2017,1
Today we are not merely transferring power from one Administration to another or from one party to another ƒ?? but we are transferring...,1/20/2017,1
power from Washington D.C. and giving it back to you the American People. #InaugurationDay,1/20/2017,1
What truly matters is not which party controls our government but whether our government is controlled by the people.,1/20/2017,1
January 20th 2017 will be remembered as the day the people became the rulers of this nation again.,1/20/2017,1
The forgotten men and women of our country will be forgotten no longer. From this moment on itƒ??s going to be #AmericaFirst???§????,1/20/2017,1
We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,1/20/2017,1
We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN!#InaugurationDay #MAGA???§????,1/20/2017,1
It is time to remember that...https://t.co/ZKyOiOor62,1/20/2017,1
So to all Americans in every city near and far small and large from mountain to mountain...https://t.co/cZKkrGXLSi,1/20/2017,1
TO ALL AMERICANS???§????https://t.co/D7Es6ie4fY,1/20/2017,1
THANK YOU for another wonderful evening in Washington D.C. TOGETHER we will MAKE AMERICA GREAT AGAIN???§???? https://t.co/V3aoj9RUh4,1/21/2017,1
A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!,1/21/2017,1
"RT @WhiteHouse: ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""ƒ??",1/21/2017,1
Had a great meeting at CIA Headquarters yesterday packed house paid great respect to Wall long standing ovations amazing people. WIN!,1/22/2017,1
Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,1/22/2017,1
Wow television ratings just out: 31 million people watched the Inauguration 11 million more than the very good ratings from 4 years ago!,1/22/2017,1
Peaceful protests are a hallmark of our democracy. Even if I don't always agree I recognize the rights of people to express their views.,1/22/2017,1
Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,1/23/2017,2
Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,1/24/2017,2
A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0,1/24/2017,2
Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together we will #MAGA! https://t.co/OXdiLOkGsZ,1/24/2017,2
Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Offƒ?? https://t.co/aOxmfO0vOK,1/24/2017,2
Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8,1/25/2017,2
Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,1/25/2017,2
"If Chicago doesn't fix the horrible ""carnage"" going on 228 shootings in 2017 with 42 killings (up 24% from 2016) I will send in the Feds!",1/25/2017,2
Big day planned on NATIONAL SECURITY tomorrow. Among many other things we will build the wall!,1/25/2017,2
I will be asking for a major investigation into VOTER FRAUD including those registered to vote in two states those who are illegal and....,1/25/2017,2
even those registered to vote who are dead (and many for a long time). Depending on results we will strengthen up voting procedures!,1/25/2017,2
I will be making my Supreme Court pick on Thursday of next week.Thank you!,1/25/2017,2
I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.ƒ?? https://t.co/4zuOrRdcoc,1/25/2017,2
Beginning today the United States of America gets back control of its borders. Full speech from today @DHSgov:ƒ?? https://t.co/8aDaHsAhg9,1/26/2017,3
As your President I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f,1/26/2017,3
@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK,1/26/2017,3
Interview with David Muir of @ABC News in 10 minutes. Enjoy!,1/26/2017,3
Ungrateful TRAITOR Chelsea Manning who should never have been released from prison is now calling President Obama a weak leader. Terrible!,1/26/2017,3
The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,1/26/2017,3
of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall then it would be better to cancel the upcoming meeting.,1/26/2017,3
Spoke at the Congressional @GOP Retreat in Philadelphia PA. this afternoon w/ @VP @SenMajLeader @SpeakerRyan. Thƒ?? https://t.co/s4sTbSyBSR,1/26/2017,3
Spoke at the Congressional @GOP Retreat in Philadelphia PA. this afternoon w/ @VP @SenateMajLdr @SpeakerRyan. Thƒ?? https://t.co/ALSADGrwoe,1/26/2017,3
Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy!,1/26/2017,3
Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! https://t.co/MtPvaDC4jM,1/26/2017,3
Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3000000 votes were illegal. We must do better!,1/27/2017,3
Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp; little help on the very weak border must change NOW!,1/27/2017,3
The #MarchForLife is so important. To all of you marching --- you have my full support!,1/27/2017,3
.@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! https://t.co/1jb53SEGV4,1/27/2017,3
Statement on International Holocaust Remembrance Day: https://t.co/KjU0MOxCHk,1/27/2017,3
Congratulations Secretary Mattis! https://t.co/mkuhbegzqS,1/27/2017,3
I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! https://t.co/D0aOWhOH4X,1/27/2017,3
The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries then the general election. FAKE NEWS!,1/28/2017,3
Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....,1/28/2017,3
...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course and never will. DISHONEST,1/28/2017,3
Today we remember the crew of the Space Shuttle Challenger 31 years later. #NeverForget https://t.co/OhshQsFRfl,1/28/2017,3
I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,1/28/2017,3
Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!,1/29/2017,4
Our country needs strong borders and extreme vetting NOW. Look what is happening all over Europe and indeed the world - a horrible mess!,1/29/2017,4
Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,1/29/2017,4
The joint statement of former presidential candidates John McCain &amp; Lindsey Graham is wrong - they are sadly weak on immigration. The two...,1/29/2017,4
...Senators should focus their energies on ISIS illegal immigration and border security instead of always looking to start World War III.,1/29/2017,4
Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul,1/29/2017,4
I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,1/29/2017,4
Only 109 people out of 325000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.....,1/30/2017,4
protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,1/30/2017,4
There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,1/30/2017,4
"If the ban were announced with a one week notice the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",1/30/2017,4
I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),1/30/2017,4
Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,1/30/2017,4
The American dream is back. Weƒ??re going to create an environment for small business like we havenƒ??t had in many maƒ?? https://t.co/Bh7SrNEgz1,1/30/2017,4
The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,1/31/2017,4
Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,1/31/2017,4
When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,1/31/2017,4
Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.,2/1/2017,5
Join me live from the @WhiteHouse.https://t.co/LHOs4nAaGl,2/1/2017,5
Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man respected by all.,2/1/2017,5
Everybody is arguing whether or not it is a BAN. Call it what you want it is about keeping bad people (with bad intentions) out of country!,2/1/2017,5
Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,2/2/2017,5
Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,2/2/2017,5
If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,2/2/2017,5
Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,2/2/2017,5
Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,2/2/2017,5
Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,2/2/2017,5
Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,2/2/2017,5
Thank you @Samsung! We would love to have you! https://t.co/r5nxC9oOA4,2/2/2017,5
Yes Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!,2/3/2017,5
"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",2/3/2017,5
Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,2/3/2017,5
Meeting with biggest business leaders this morning. Good jobs are coming back to U.S. health care and tax bills are being crafted NOW!,2/3/2017,5
Professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!,2/3/2017,5
A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,2/3/2017,5
"We must keep ""evil"" out of our country!",2/3/2017,5
