source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,Column1
Twitter for iPhone,"Rand Paul or whoever votes against Hcare Bill will forever (future political campaigns) be known as ""the Republican who saved ObamaCare.""",9/22/2017,14476,61009,FALSE,9.11173E+17,82
Twitter for iPhone,Kim Jong Un of North Korea who is obviously a madman who doesn't mind starving or killing his people will be tested like never before!,9/22/2017,41831,130442,FALSE,9.11175E+17,82
Twitter for iPhone,Thank you! https://t.co/hlz48RLkIf,9/22/2017,10934,56418,FALSE,9.11176E+17,82
Twitter for iPhone,RT @TwitterData: These are the 10 most Tweeted about world leaders during the first day of #UNGA General Debate https://t.co/HhlOlNAkDJ,9/22/2017,5407,0,TRUE,9.11176E+17,82
Twitter for iPhone,RT @DonnaWR8: .@POTUS #TRUMP???ß???? &amp; @FLOTUS???ßWhen ALL seemed HOPELESS...YOU brought HOPE!You INSPIRE us ALL!#MAGA #Harvey @Scavino45 #USAÉ??,9/22/2017,8452,0,TRUE,9.11177E+17,82
Twitter for iPhone,The Russia hoax continues now it's ads on Facebook. What about the totally biased and dishonest Media coverage in favor of Crooked Hillary?,9/22/2017,26853,105163,FALSE,9.11179E+17,82
Twitter for iPhone,"The greatest influence over our election was the Fake News Media ""screaming"" for Crooked Hillary Clinton. Next she was a bad candidate!",9/22/2017,19652,90167,FALSE,9.1119E+17,82
Twitter for iPhone,Will be in Alabama tonight. Luther Strange has gained mightily since my endorsement but will be very close. He loves Alabama and so do I!,9/22/2017,7407,45937,FALSE,9.11193E+17,82
Twitter for iPhone,#USAatUNGA???ß????#UNGA https://t.co/miT2Lj7Q90,9/22/2017,9198,40194,FALSE,9.11265E+17,82
Twitter for iPhone,Thank you to Doug Parker and American Airlines for all of the help you have given to the U.S. with Hurricane flights. Fantastic job!,9/22/2017,13534,78605,FALSE,9.11288E+17,82
Twitter for iPhone,Heading to Alabama now big crowd!,9/22/2017,8188,60818,FALSE,9.11339E+17,82
Twitter for iPhone,John McCain never had any intention of voting for this Bill which his Governor loves. He campaigned on Repeal &amp; Replace. Let Arizona down!,9/23/2017,22206,86966,FALSE,9.11541E+17,83
Twitter for iPhone,Arizona had a 116% increase in ObamaCare premiums last year with deductibles very high. Chuck Schumer sold John McCain a bill of goods. Sad,9/23/2017,16391,66300,FALSE,9.11543E+17,83
Twitter for iPhone,Large Block Grants to States is a good thing to do. Better control &amp;  management. Great for Arizona. McCain let his best friend L.G. down!,9/23/2017,10820,54685,FALSE,9.11545E+17,83
Twitter for iPhone,I know Rand Paul and I think he may find a way to get there for the good of the Party!,9/23/2017,10486,58235,FALSE,9.11547E+17,83
Twitter for iPhone,Alaska had a 200% plus increase in premiums under ObamaCare worst in the country. Deductibles high people angry! Lisa M comes through.,9/23/2017,15000,64703,FALSE,9.11549E+17,83
Twitter for iPhone,It was great being with Luther Strange last night in Alabama. What great people what a crowd! Vote Luther on Tuesday.,9/23/2017,7047,45124,FALSE,9.1155E+17,83
Twitter for iPhone,Going to the White House is considered a great honor for a championship team.Stephen Curry is hesitatingtherefore invitation is withdrawn!,9/23/2017,64839,214319,FALSE,9.11572E+17,83
Twitter for iPhone,If a player wants the privilege of making millions of dollars in the NFLor other leagues he or she should not be allowed to disrespect....,9/23/2017,47642,184086,FALSE,9.11654E+17,83
Twitter for iPhone,...our Great American Flag (or Country) and should stand for the National Anthem. If not YOU'RE FIRED. Find something else to do!,9/23/2017,42328,161691,FALSE,9.11656E+17,83
Twitter for iPhone,Very proud of our incredible First Lady (@FLOTUS.) She is a truly great representative for our country! https://t.co/yFv0WIjgby,9/23/2017,18622,102882,FALSE,9.11701E+17,83
Twitter for iPhone,Iran just test-fired a Ballistic Missile capable of reaching Israel.They are also working with North Korea.Not much of an agreement we have!,9/23/2017,29011,98305,FALSE,9.11712E+17,83
Twitter for iPhone,"Democrats are laughingly saying that McCain had a ""moment of courage."" Tell that to the people of Arizona who were deceived. 116% increase!",9/23/2017,26945,105470,FALSE,9.11717E+17,83
Twitter for iPhone,Roger Goodell of NFL just put out a statement trying to justify the total disrespect certain players show to our country.Tell them to stand!,9/23/2017,40988,156381,FALSE,9.11718E+17,83
Twitter for iPhone,Just heard Foreign Minister of North Korea speak at U.N. If he echoes thoughts of Little Rocket Man they won't be around much longer!,9/24/2017,37580,135288,FALSE,9.11789E+17,83
